key	text	tooltip
#Loc;1;text/fixes.loc
message_event_strings_title_bos_railway_theirs_firstjap_boshinjapanese	El Primer Ferrocarril	true
ui_component_localisation_localised_string_DY_text_NewState_Text_7d0073	Decisión de los otros jugadores:	true
ui_component_localisation_localised_string_decision_value_NewState_Text_65002a	Sí	true
ui_component_localisation_localised_string_decision_value_no_Text_6f004e	No	true
ui_component_localisation_localised_string_decision_value_undecided_Text_70052	Sin decidir	true
ui_component_localisation_localised_string_title_NewState_Text_3a007ae	Infantería de élite	true
units_on_screen_name_Boshin_Cav_Missile_Revolver_Cavalry	Caballería con revólver	true
units_on_screen_name_Boshin_Inf_Line_Azure_Dragon_Force	Fuerza del Dragón Azul	true
battlefield_building_categories_global_effects_description_armoury	Ninguno	true
battlefield_building_categories_global_effects_description_barracks	Ninguno	true
battlefield_building_categories_global_effects_description_boulder	Ninguno	true
battlefield_building_categories_global_effects_description_bridge	Ninguno	true
battlefield_building_categories_global_effects_description_church	Ninguno	true
battlefield_building_categories_global_effects_description_coastal_battery	-1	true
battlefield_building_categories_global_effects_description_command_HQ	Ninguno	true
battlefield_building_categories_global_effects_description_farmhouse	Ninguno	true
battlefield_building_categories_global_effects_description_fence	Ninguno	true
battlefield_building_categories_global_effects_description_floor_tile	Ninguno	true
battlefield_building_categories_global_effects_description_fort	Ninguno	true
battlefield_building_categories_global_effects_description_fort_tower	Ninguno	true
battlefield_building_categories_global_effects_description_fort_wall	Ninguno	true
battlefield_building_categories_global_effects_description_gate	Ninguno	true
battlefield_building_categories_global_effects_description_house	Ninguno	true
battlefield_building_categories_global_effects_description_hut	Ninguno	true
battlefield_building_categories_global_effects_description_incidental	Ninguno	true
battlefield_building_categories_global_effects_description_key_building_archery_dojo	Aumenta la velocidad de recarga de todas las unidades de proyectiles.	true
battlefield_building_categories_global_effects_description_key_building_farmhouse	Aumenta la resistencia y la velocidad de movimiento de todas las unidades.	true
battlefield_building_categories_global_effects_description_key_building_shrine	Aumenta la moral de todas las unidades.	true
battlefield_building_categories_global_effects_description_key_building_sword_dojo	Aumenta el ataque cuerpo a cuerpo y carga de todas las unidades.	true
battlefield_building_categories_global_effects_description_key_building_workshop	Aumenta la armadura y la defensa cuerpo a cuerpo de todas las unidades.	true
battlefield_building_categories_global_effects_description_ruins	Ninguno	true
battlefield_building_categories_global_effects_description_rural	Ninguno	true
battlefield_building_categories_global_effects_description_townhall	Ninguno	true
battlefield_building_categories_global_effects_description_vaultable_wall	Ninguno	true
battlefield_building_categories_global_effects_description_warehouse	Ninguno	true
battlefield_building_categories_global_effects_description_windmill	Ninguno	true
battlefield_building_categories_local_effects_description_armoury	Ninguno	true
battlefield_building_categories_local_effects_description_barracks	Ninguno	true
battlefield_building_categories_local_effects_description_boulder	Ninguno	true
battlefield_building_categories_local_effects_description_bridge	Ninguno	true
battlefield_building_categories_local_effects_description_church	Ninguno	true
battlefield_building_categories_local_effects_description_coastal_battery	-1	true
battlefield_building_categories_local_effects_description_command_HQ	Ninguno	true
battlefield_building_categories_local_effects_description_farmhouse	Ninguno	true
battlefield_building_categories_local_effects_description_fence	Ninguno	true
battlefield_building_categories_local_effects_description_floor_tile	Ninguno	true
battlefield_building_categories_local_effects_description_fort	Ninguno	true
battlefield_building_categories_local_effects_description_fort_tower	Dispara sobre las unidades enemigas cercanas si es capturada.	true
battlefield_building_categories_local_effects_description_fort_wall	Ninguno	true
battlefield_building_categories_local_effects_description_gate	Permite acceso a las unidades aliadas si es capturada.	true
battlefield_building_categories_local_effects_description_house	Ninguno	true
battlefield_building_categories_local_effects_description_hut	Ninguno	true
battlefield_building_categories_local_effects_description_incidental	Ninguno	true
battlefield_building_categories_local_effects_description_key_building_archery_dojo	Restablece los suministros de munición de las unidades de proyectiles cercanas.	true
battlefield_building_categories_local_effects_description_key_building_farmhouse	Ninguno	true
battlefield_building_categories_local_effects_description_key_building_shrine	Ninguno	true
battlefield_building_categories_local_effects_description_key_building_sword_dojo	Ninguno	true
battlefield_building_categories_local_effects_description_key_building_workshop	Ninguno	true
battlefield_building_categories_local_effects_description_ruins	Ninguno	true
battlefield_building_categories_local_effects_description_rural	Ninguno	true
battlefield_building_categories_local_effects_description_townhall	Ninguno	true
battlefield_building_categories_local_effects_description_vaultable_wall	Ninguno	true
battlefield_building_categories_local_effects_description_warehouse	Ninguno	true
battlefield_building_categories_local_effects_description_windmill	Ninguno	true
movie_event_strings_title_unit_monk_naginatajapanese	Monjes guerreros con naginata	true
units_on_screen_name_Inf_Heavy_Naginata_Warrior_Monks	Monjes guerreros con naginata	true
units_on_screen_name_Inf_Heavy_Naginata_Warrior_Monks_MP	Monjes guerreros con naginata	true
units_on_screen_name_Sh_Inf_Special_Kisho_Ninja_Hero	Sombras de Hanzo	true
units_on_screen_name_Sh_Inf_Special_Kisho_Ninja_Hero_MP	Sombras de Hanzo	true
units_on_screen_name_Cav_Missile_Bow_Cavalry_Takeda	Caballería de arqueros Takeda	true
ui_component_localisation_localised_string_label_tx_NewState_Text_730016	Ikko-Ikki/Packs de unidades	true
ui_component_localisation_localised_string_button_ikko_ikki_hover_Text_26000dk	Ikko-Ikki	true
units_on_screen_name_Boshin_Inf_Militia_Levy_Infantry	Leva de infantería	true
units_on_screen_name_Boshin_Inf_Militia_Levy_Infantry_Garrison	Guarnición de leva de infantería	true
units_on_screen_name_Boshin_Inf_Militia_Levy_Infantry_MP	Leva de infantería	true
units_on_screen_name_Boshin_Inf_Spear_Levy	Leva de lanceros	true
units_on_screen_name_Boshin_Inf_Spear_Levy_Garrison	Guarnición de leva de lanceros	true
units_on_screen_name_Boshin_Inf_Spear_Levy_MP	Leva de lanceros	true
factions_clan_summary_name_otomo	El clan Otomo	true
factions_clan_summary_name_when_shogun_otomo	El Shogunato Otomo	true
battles_localised_name_Castle_Coastal_Level_06	Castillo Satsuma	true
battles_localised_name_Castle_Hilly_Plane_Level_06	Fortaleza de Uzen	true
battles_localised_name_Castle_Mountain_Level_06	Fortaleza de Wakasa	true
battles_localised_name_Castle_Plane_Level_06	Castillo de Iburi	true
battles_localised_name_sho_mp_boshin_gifu	Cruce de Gifu	true
battles_localised_name_sho_mp_boshin_gifu_no_kbs	Cruce de Gifu	true
battles_localised_name_sho_mp_boshin_happo_ridge	Colina de Happo	true
battles_localised_name_sho_mp_boshin_happo_ridge_no_kbs	Colina de Happo	true
battles_localised_name_sho_mp_boshin_ishiyama_ruins	Ruinas de Ishiyama	true
battles_localised_name_sho_mp_boshin_ishiyama_ruins_no_kbs	Ruinas de Ishiyama	true
battles_localised_name_sho_mp_boshin_iwaki_foothills	Faldas colina de Iwaki	true
battles_localised_name_sho_mp_boshin_iwaki_foothills_no_kbs	Faldas colina de Iwaki	true
battles_localised_name_sho_mp_boshin_jigokudani_valley	Valle de Jigokudani	true
battles_localised_name_sho_mp_boshin_jigokudani_valley_no_kbs	Valle de Jigokudani	true
battles_localised_name_sho_mp_boshin_kawabe_river	Río Kawabe	true
battles_localised_name_sho_mp_boshin_kawabe_river_no_kbs	Río Kawabe	true
battles_localised_name_sho_mp_boshin_kurobe_gorge	Desfiladero Kurobe	true
battles_localised_name_sho_mp_boshin_kurobe_gorge_no_kbs	Desfiladero Kurobe	true
battles_localised_name_sho_mp_boshin_naval_hokuriki_coast	Costa de Hokuriki	true
battles_localised_name_sho_mp_boshin_naval_hokuriki_coast_no_kbs	Costa de Hokuriki	true
battles_localised_name_sho_mp_boshin_naval_seto_inland_sea	Mar interior de Seto	true
battles_localised_name_sho_mp_boshin_naval_seto_inland_sea_no_kbs	Mar interior de Seto	true
battles_localised_name_sho_mp_boshin_naval_tohoku_sea	Mar de Tohoku	true
battles_localised_name_sho_mp_boshin_naval_tohoku_sea_no_kbs	Mar de Tohoku	true
battles_localised_name_sho_mp_boshin_naval_tokai_coast	Costa de Tokai	true
battles_localised_name_sho_mp_boshin_naval_tokai_coast_no_kbs	Costa de Tokai	true
battles_localised_name_sho_mp_boshin_naval_tsugaru_straits	Estrechos de Tsugaru	true
battles_localised_name_sho_mp_boshin_naval_tsugaru_straits_no_kbs	Estrechos de Tsugaru	true
battles_localised_name_sho_mp_boshin_nishizawa_valley	Valle de Nishizawa	true
battles_localised_name_sho_mp_boshin_nishizawa_valley_no_kbs	Valle de Nishizawa	true
battles_localised_name_sho_mp_boshin_osaka_plain	Llanura de Osaka	true
battles_localised_name_sho_mp_boshin_osaka_plain_no_kbs	Llanura de Osaka	true
battles_localised_name_sho_mp_boshin_ridge_pass	Paso montañoso de Awa	true
battles_localised_name_sho_mp_boshin_ridge_pass_no_kbs	Paso montañoso de Awa	true
battles_localised_name_sho_mp_boshin_ubayu_onsen	Aguas termales de Ubayu	true
battles_localised_name_sho_mp_boshin_ubayu_onsen_no_kbs	Aguas termales de Ubayu	true
battles_localised_name_sho_mp_boshin_usui_pass	Paso montañoso de Usui	true
battles_localised_name_sho_mp_boshin_usui_pass_no_kbs	Paso montañoso de Usui	true
battles_localised_name_sho_mp_boshin_naval_sea_of_japan	Mar de Japón	true
battles_localised_name_Castle_Kyoto_Level_06	Kyoto (1868)	true
